Series,S,Years,Link,Country,Runtime,tags,Show Description,Youtube link,Episodes count,Netflix,Prime Video,Hulu,Disney+,Apple TV+,CBS All Access,Dish Network,Sling TV,NOW TV,Philo,AMC Network,AT & T TV                                                   ,Peacock TV,DIRECTV Stream,ESPN+,Paramount+,ROKU,Showtime,Starz,Vidgo,Xfinity
It's Always Sunny in Philadelphia,18, 2005– ,https://www.imdb.com/title/tt0472954/?ref_=nv_sr_srsg_0,United States,22,"comedy, sitcom, 2000s, 2010s, 2020s, usa, christmas, halloween, thanksgiving", A darkly hilarious and irreverent comedy about a group of dysfunctional friends who own a dive bar in Philly.,https://www.youtube.com/embed/rTGQiJ6sAxU,"The show aired 1 Christmas episode, 1 Thanksgiving episode, and 3 Halloween episodes.",https://www.authorityhacker.com/netflix-affiliate-program/,https://www.digitalfodder.com/netflix-affiliate-program-alternatives/,,,,,,,,,,,,,,,,,,,
Six Feet Under,5,2001–2005,https://www.imdb.com/title/tt0248654/?ref_=nv_sr_srsg_0,United States,60,"comedy, drama, 2000s, usa, christmas","This drama follows the lives of a family who runs a funeral home, exploring themes of life, death, and the meaning of existence.",,The show aired 1 Christmas episode.,,,,,,,,,,,,,,,,,,,,,
Supernatural,15,2005–2020,https://www.imdb.com/title/tt0460681/?ref_=tt_ov_inf,United States,43,"drama, horror, fantasy, 2000s, 2010s, 2020s, usa, christmas, halloween, thanksgiving, valentine's", Follow brothers Sam and Dean Winchester as they hunt supernatural creatures and unravel the mystery of their family's past.,,"The show aired 1 Christmas episode, 1 Thanksgiving episode, 1 Halloween episode, and 2 Valentine's Day episodes.",,,,,,,,,,,,,,,,,,,,,
Brooklyn Nine-Nine,8,2013–2021,https://www.imdb.com/title/tt2467372/?ref_=nv_sr_srsg_0,United States,23,"comedy, sitcom, 2010s, 2020s, usa, christmas, halloween, thanksgiving","This police procedural sitcom follows a team of detectives in the fictional 99th precinct of the NYPD, tackling both serious crimes and comedic mishaps.",,"The show aired 4 Christmas episodes, 4 Thanksgiving episodes, and 5 Halloween episodes.",,,,,,,,,,,,,,,,,,,,,
Bones,12,2005–2017,https://www.imdb.com/title/tt0460627/?ref_=tt_ov_inf,United States,43,"comedy, crime, drama, romance, 2000s, 2010s, usa, christmas, halloween, thanksgiving",Forensic anthropologist Dr. Temperance Bones Brennan and FBI Special Agent Seeley Booth team up to solve complex murder cases.,,"The show aired 3 Christmas episodes, 1 Thanksgiving episode, and 1 Halloween episode.",,,,,,,,,,,,,,,,,,,,,
Smallville,10,2001–2011,https://www.imdb.com/title/tt0279600/?ref_=tt_ov_inf,United States,42,"sci-fi, drama, action, adventure, 2000s, 2010s, usa, christmas","A young Clark Kent discovers his powers and navigates life in Smallville, Kansas while facing villains and trying to keep his abilities hidden.",,The show aired 2 Christmas episodes.,,,,,,,,,,,,,,,,,,,,,
House M.D.,8,2004–2012,https://www.imdb.com/title/tt0412142/?ref_=tt_ov_inf,United States,43,"drama, mystery, hospital, medical drama, 2000s, 2010s, usa, christmas, thanksgiving, valentine's","Dr. Gregory House, a brilliant but unconventional diagnostician, leads a team of doctors at Princeton-Plainsboro Teaching Hospital to solve mysterious medical cases.",,"The show aired 4 Christmas episodes, 1 Thanksgiving episode, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Scrubs,9,2001–2010,https://www.imdb.com/title/tt0285403/?ref_=tt_ov_inf,United States,22,"comedy, drama, medical drama, hospital, sitcom, 2000s, 2010s, usa, christmas, thanksgiving","Follow the personal and professional lives of medical interns, residents, and attending physicians at Sacred Heart Hospital.",,"The show aired 2 Christmas episodes, and 1 Thanksgiving episode.",,,,,,,,,,,,,,,,,,,,,
Friends,10,1994–2004,https://www.imdb.com/title/tt0108778/?ref_=tt_ov_inf,United States,22,"comedy, romance, sitcom, 90s, 2000s, usa, christmas, thanksgiving, valentine's",A group of friends navigate life and love in New York City while making us laugh and cry along the way.,,"The show aired 8 Christmas episodes, 9 Thanksgiving episodes, and 7 Valentine's Day episodes.",,,,,,,,,,,,,,,,,,,,,
"Beverly Hills, 90210",10,1990–2000,https://www.imdb.com/title/tt0098749/?ref_=tt_ov_inf,United States,45,"drama, romance, 90s, 2000s, usa, christmas, thanksgiving, halloween, valentine's, new year",Follow a group of high schoolers in the wealthy Beverly Hills neighborhood as they navigate the trials and tribulations of adolescence and adulthood.,,"The show aired 8 Christmas episodes, 5 Thanksgiving episodes, 3 Halloween episodes, 7 Valentine's Day episodes, and 1 New Year episode.",,,,,,,,,,,,,,,,,,,,,
